DS100;Breite;Laenge
RBRG;48.980676;8.212761
FSUE;50.341177;9.510039
EBGA;51.033036;8.35001
RBGB;49.00575;8.530169
RBGP;49.295449;8.406173
KBGG;50.991461;7.124553
RBEF;47.695308;8.592771
NBHM;49.8993;10.076473
RBE;47.694897;8.574616
EBRH;51.407771;8.751414
ABGS;54.113667;9.537501
EBLB;51.051197;8.394109
ABTSB.ABTSL;53.55287;10.02463
RBAH;47.730488;9.345157
MBN;47.816482;12.380957
HBER;53.183779;8.475368
MBER;47.861387;11.283658
HBBR;52.551242;7.942405
FBEZ;50.539891;8.006031
SBS;49.504391;6.372303
TBE;48.997723;9.136645
SBES;49.475974;6.602559
EBWG;51.361913;8.397839
NBMS;48.997687;13.186274
RBEU;47.581906;7.810915
TBEU;48.048791;8.97189
TBTB;48.810293;9.386029
ABVS;53.078247;10.574141
SBX;49.345698;7.254456
RBI;48.338388;8.032762
TBI;48.101845;9.793127
TBIB;48.087018;9.803236
MBIC;47.723815;11.408769
MBID;47.771693;12.646506
FBI;49.759632;8.603415
FBBM;49.781977;8.473978
FBIK;50.909113;8.529989
EBIO;52.024013;8.559416
FBIZ;50.915125;8.517706
ABIL;53.142127;10.484714
EBIS;51.965118;8.520335
HROE;52.239275;8.516964
TBIE;48.449029;8.860915
EDH;51.487782;7.500029
MBIH.MBIHH;47.829956;10.640467
RBIE;48.910587;8.258045
RBGN;47.744017;8.738915
EBIG;51.358279;8.475253
SBDS;49.337325;7.094341
TBIL;48.948674;8.620498
MBIN;48.275562;10.358162
EBB;51.981341;7.297482
ABWM;53.515589;10.096658
RBIN;49.372589;9.083631
NBI;49.98022;11.603442
FBGG;49.967073;7.950983
FBGN;49.969746;7.902985
EHGV;51.388224;7.433726
EBIN;51.371981;7.859433
EBKB;51.020694;8.252865
RBRK;49.561039;8.708359
FBBH;51.022372;8.744887
TBIR;48.873911;8.645278
MBIB;48.432853;13.074034
SBRB;50.176411;6.628884
FBMR;50.140987;8.805296
MBI;47.65189;12.960141
RBIS;48.832154;8.277543
TBIS;48.31277;8.921035
HBSS;52.522705;9.748191
TBIT;48.444404;8.589439
NBLA;49.164028;12.807925
MBLH;47.543741;10.258796
TBIF;49.187233;9.453222
KBLB;50.768476;7.348499
AB;53.564364;9.814607
KBLH;50.441871;6.593504
RBAN;49.066528;8.464729
TBL;48.403815;9.791979
TBLF;49.296236;9.96768
TBLS;48.414596;9.919326
RBLB;48.124091;8.004777
FBLH;50.320334;9.051582
SBKL;49.249192;7.258191
MBLM;48.645095;10.617933
RRD;47.855541;8.607543
RBOB;49.588139;8.35032
MBOB;48.266373;10.837891
FBST;49.663251;8.451786
EBGZ;51.5178;7.205275
EBDA;51.426358;7.140842
EBOE;51.472117;7.20915
RBOK;49.606872;8.188254
EBCK;51.704809;7.774547
MBOD;47.678113;10.411092
TBOD;48.383369;8.990601
HBBU;52.031121;10.00133
KBOD;50.556266;7.217217
HBOF;51.637209;9.561667
HBOD;52.834275;10.673371
NBOE;49.278381;12.325948
TBO;48.687758;9.004128
RBGH;49.475929;9.317207
RBOE;49.379831;8.303602
RBER;47.748732;8.926651
EBEO;51.598015;7.757296
HBSM;52.060463;10.568935
EBSL;51.90703;7.487687
EBSP;51.45894;7.774233
NBO;48.910594;12.686141
HBOM;52.361632;8.307525
KBOI;51.274323;6.274591
TBD;48.523552;8.827662
KBHH;50.721844;7.052615
KBBG;50.683927;7.159555
KBB;50.738476;7.127657
KBD;50.716475;7.042548
KBM;50.669153;7.181342
KBO;50.715073;7.1593
KBEC;50.73559;7.062211
HBHB;53.099112;8.532556
TBP;48.855153;10.351707
